Volume (m3)	Temperature (C)
0.000679	407.763399
0.000396	309.661971
0.000367	414.618536
0.000988	453.822586
0.000038	396.166868
0.000885	480.139412
0.000913	426.641485
0.000796	396.602178
0.000099	307.224456
0.000262	354.771509
0.000335	398.260861
0.000680	362.267119
0.000137	384.302935
0.000721	480.861981
0.000107	436.386120
0.000654	422.115057
0.000494	461.479260
0.000779	480.291229
0.000715	367.531067
0.000904	494.901902
0.000891	322.531670
0.000334	403.287984
0.000699	468.475038
0.000198	499.266812
0.000031	302.059620
0.000744	494.425078
0.000500	491.974401
0.000480	462.552769
0.000905	382.570763
0.000610	480.361234
0.000618	389.971118
0.000859	449.713775
0.000805	465.537830
0.000577	476.872309
0.000183	372.986179
0.000240	360.042097
0.000887	464.082239
0.000029	330.281871
0.000490	497.537898
0.000168	324.932960
0.000979	443.397771
0.000713	317.762183
0.000500	371.341284
0.000471	377.623152
0.000060	376.505426
0.000682	497.956182
0.000042	304.967953
0.000071	447.478973
0.000522	361.129256
0.000097	343.969771
0.000818	418.151977
0.000818	427.183028
0.000722	455.752126
0.000150	311.083520
0.000660	479.435287
0.000519	339.276369
0.000973	476.738609
0.000649	364.754996
0.000800	345.688602
0.000454	390.066141
0.000432	324.934323
0.000825	430.287196
0.000083	302.060061
0.000133	410.874617
0.000173	476.286532
0.000391	461.483339
0.000831	312.828686
0.000803	356.014246
0.000060	468.529293
0.000399	371.231580
0.000527	303.741991
0.000417	407.826054
0.000657	358.181630
0.000628	488.680668
0.000292	369.797190
0.000432	477.565458
0.000015	347.539183
0.000984	488.530348
0.000167	418.085900
0.000106	358.087568
0.000372	419.750847
0.000198	434.816719
0.000490	463.936339
0.000339	305.350944
0.000952	316.818290
0.000920	437.216397
0.000053	400.965752
0.000738	495.438713
0.000269	494.352370
0.000423	440.642998
0.000548	319.183790
0.000943	301.493288
0.000418	335.063248
0.000983	417.787695
0.000301	361.483340
0.000701	312.956716
0.000666	482.931601
0.000539	304.780001
0.000698	461.071887
0.000667	463.997166
0.000178	424.150149
0.000128	477.001481
0.000999	417.712958
0.000171	302.576531
0.000033	449.015908
0.000561	459.415288
0.000882	340.936389
0.000669	411.514455
0.000190	469.792598
0.000369	455.658636
0.000461	307.232690
0.000982	322.044778
0.000156	431.187146
0.000856	378.388469
0.000645	400.238142
0.000376	406.879819
0.000191	419.967944
0.000428	312.183372
0.000482	359.534034
0.000121	375.670387
0.000590	345.591122
0.000226	309.211219
0.000385	312.414866
0.000583	475.319822
0.000252	447.232572
0.000290	407.877033
0.000617	372.450421
0.000265	423.668254
0.000824	362.280961
0.000983	314.736801
0.000730	426.620229
0.000344	474.441903
0.000584	377.960899
0.000108	333.224090
0.000906	489.527368
0.000880	396.705647
0.000818	356.420344
0.000261	466.589720
0.000594	381.214413
0.000023	415.390538
0.000425	421.877250
0.000313	483.067748
0.000161	429.575343
0.000179	441.875324
0.000423	349.320011
0.000094	435.059488
0.000599	412.850711
0.000471	436.561955
0.000696	389.125296
0.000700	434.735462
0.000639	388.061636
0.000034	360.908245
0.000069	444.198319
0.000320	371.635736
0.000531	463.132237
0.000654	478.211758
0.000408	447.972899
0.000820	305.046978
0.000718	385.216331
0.000969	371.929337
0.000531	473.652469
0.000325	408.375670
0.000106	437.540980
0.000611	388.441623
0.000779	352.790089
0.000423	446.413100
0.000091	340.459939
0.000266	347.548878
0.000154	363.336353
0.000281	318.771661
0.000440	430.749024
0.000527	410.973336
0.000457	435.999951
0.000875	347.733512
0.000518	487.347528
0.000944	440.060197
0.000638	384.278466
0.000958	301.740821
0.000241	460.788475
0.000676	368.167064
0.000289	328.629404
0.000672	423.766627
0.000695	343.250267
0.000068	387.950225
0.000255	490.111439
0.000224	415.551758
0.000668	470.694479
0.000844	402.278951
0.000344	388.553668
0.000781	333.784114
0.000675	420.479518
0.000007	315.073930
0.000602	446.041916
0.000387	322.260939
0.000916	397.371268
0.000001	377.943531
0.000462	463.759612
0.000424	412.313027
0.000461	340.900315
0.000770	380.879718
0.000322	312.776124
0.000785	456.587510
0.000471	362.314826
0.000036	440.466214
0.000176	483.014973
0.000722	440.743892
0.000473	424.829977
0.000153	365.090311
0.000341	486.863093
0.000607	339.958980
0.000192	349.162439
0.000738	369.789903
0.000243	402.341791
0.000917	476.663993
0.000269	319.506934
0.000766	499.018418
0.000189	487.121223
0.000287	355.626692
0.000091	460.552656
0.000576	451.633045
0.000683	364.299575
0.000547	377.176770
0.000426	356.423855
0.000644	353.021613
0.000648	450.711852
0.000679	386.955408
0.000636	403.800474
0.000945	356.886377
0.000209	378.754461
0.000709	324.809862
0.000236	323.196914
0.000119	435.657134
0.000607	364.121927
0.000450	392.248603
0.000459	391.909765
0.000662	436.509699
0.000770	459.760008
0.000350	344.796557
0.000662	347.808961
0.000416	306.157360
0.000842	394.500263
0.000833	360.821073
0.000256	488.219764
0.000613	460.484843
0.000582	373.531035
0.000541	323.441831
0.000870	348.852000
0.000265	453.416065
0.000318	448.882569
0.000119	403.585553
0.000940	384.885672
0.000646	444.513999
0.000479	343.357288
0.000639	341.653479
0.000545	437.103078
0.000647	494.746579
0.000544	388.055219
0.000721	464.015889
0.000522	405.167800
0.000994	428.747353
0.000219	412.668517
0.000106	393.560395
0.000110	338.866836
0.000064	455.167867
0.000405	428.212961
0.000448	461.911033
0.000366	372.431825
0.000764	361.541389
0.000628	438.308595
0.000772	398.375595
0.000933	446.042597
0.000973	328.698124
0.000192	356.784324
0.000139	312.430961
0.000696	422.563807
0.000094	342.280493
0.000525	328.145195
0.000530	345.188920
0.000861	338.528156
0.000485	452.001637
0.000393	492.605239
0.000671	339.877733
0.000741	405.965028
0.000520	303.937337
0.000348	386.906829
0.000150	422.113245
0.000586	343.289744
0.000262	474.399344
0.000044	477.358145
0.000755	383.259960
0.000243	459.640004
0.000442	357.105230
0.000688	489.741607
0.000359	327.732600
0.000736	365.368511
0.000395	353.812789
0.000683	424.490531
0.000704	456.237105
0.000442	326.236573
0.000020	497.004097
0.000331	424.896608
0.000424	416.621744
0.000270	319.830776
0.000197	353.047788
0.000822	399.219478
0.000430	401.482972
0.000888	377.802759
0.000391	468.602693
0.000769	372.909582
0.000397	401.893221
0.000809	435.682479
0.000755	360.691055
0.000377	473.419063
0.000216	411.619769
0.000790	453.769109
0.000949	425.212410
0.000328	425.154622
0.000671	301.256057
0.000439	302.577731
0.000834	422.479801
0.000769	311.702934
0.000167	348.376240
0.000862	322.201791
0.000990	305.568602
0.000514	344.109559
0.000884	365.790770
0.000588	364.652022
0.000155	446.491416
0.000200	359.299169
0.000407	498.692038
0.000749	377.352649
0.000826	452.322770
0.000790	472.566097
0.000319	418.125567
0.000534	360.356651
0.000090	372.783593
0.000112	368.874203
0.000136	306.119785
0.000679	461.367552
0.000495	348.360698
0.000190	369.731797
0.000495	304.371855
0.000148	408.119225
0.000055	316.748105
0.000851	491.064670
0.000561	418.830259
0.000930	407.703773
0.000697	374.492945
0.000583	395.644677
0.000815	439.079137
0.000879	328.517253
0.000989	416.803474
0.000001	490.828622
0.000865	469.336332
0.000613	486.177980
0.000990	367.331181
0.000528	397.340039
0.000480	328.705519
0.000801	342.152684
0.000228	398.838850
0.000498	460.689406
0.000901	395.233420
0.000575	377.293951
0.000845	356.874171
0.000739	492.808011
0.000586	311.805122
0.000247	434.989996
0.000666	498.151931
0.000083	334.142635
0.000626	499.580934
0.000661	371.604674
0.000730	405.164422
0.000891	319.337572
0.000982	445.251379
0.000769	444.114522
0.000581	421.780110
0.000928	378.776531
0.000580	331.578787
0.000017	401.329654
0.000121	368.297682
0.000863	481.450517
0.000484	403.673146
0.000845	465.789785
0.000209	339.427848
0.000552	494.512552
0.000630	430.037085
0.000032	436.495753
0.000615	476.007734
0.000362	331.729682
0.000050	400.353688
0.000490	471.406141
0.000193	330.516927
0.000123	338.981243
0.000205	348.458715
0.000147	395.976512
0.000189	469.611720
0.000043	468.051679
0.000635	378.334708
0.000282	388.234426
0.000539	334.302646
0.000695	381.475951
0.000499	425.204366
0.000536	493.645328
0.000445	427.404489
0.000124	473.732616
0.000490	327.013976
0.000853	428.262742
0.000874	343.200474
0.000270	417.863518
0.000208	433.485813
0.000565	478.906121
0.000640	302.464195
0.000417	382.132088
0.000206	331.628114
0.000948	487.636037
0.000082	468.958883
0.000106	390.582726
0.000142	462.884520
0.000166	372.783849
0.000621	400.211218
0.000574	402.452264
0.000052	476.011245
0.000931	393.595866
0.000729	441.053562
0.000738	448.939786
0.000063	314.212516
0.000860	337.327876
0.000934	445.099284
0.000984	469.146393
0.000859	408.099116
0.000786	311.419500
0.000513	439.065809
0.000178	382.782543
0.000399	323.263581
0.000134	499.056674
0.000031	385.372320
0.000939	447.012232
0.000301	441.273286
0.000296	342.422395
0.000333	479.741711
0.000467	390.030375
0.000648	463.571520
0.000025	342.975003
0.000842	372.136179
0.000559	319.483229
0.000854	429.894977
0.000348	466.491319
0.000446	448.126541
0.000054	331.016497
0.000177	398.416937
0.000663	471.659389
0.000331	352.838491
0.000898	484.766668
0.000118	314.792829
0.000988	474.350927
0.000540	361.659797
0.000707	422.242095
0.000999	420.467155
0.000288	424.263046
0.000415	479.673732
0.000465	481.395060
0.000764	403.059935
0.000818	403.340184
0.000100	433.894744
0.000178	454.783951
0.000360	305.997752
0.000057	449.873815
0.000522	480.275945
0.000336	477.855576
0.000176	374.666235
0.000209	478.487715
0.000905	468.913252
0.000675	423.401602
0.000468	466.316836
0.000912	470.632620
0.000104	332.675902
0.000746	329.336687
0.000736	367.476453
0.000562	373.266673
0.000184	463.254035
0.000597	403.978377
0.000300	380.342630
0.000134	305.531036
0.000213	396.532726
0.000895	380.328485
0.000071	402.916086
0.000242	389.882468
0.000054	310.656164
0.000442	384.565156
0.000013	327.339906
0.000897	312.021790
0.000197	377.330279
0.000093	312.048433
0.000307	386.218573
0.000456	429.777041
0.000102	372.203742
0.000995	420.205758
0.000332	319.322284
0.000297	348.830030
0.000062	381.307243
0.000298	352.781782
0.000046	325.143400
0.000505	322.295450
0.000761	453.812803
0.000631	377.344883
0.000090	457.390139
0.000081	332.396876
0.000777	477.849191
0.000905	455.993623
0.000534	307.208069
0.000109	418.364027
0.000826	314.628766
0.000338	402.169468
0.000294	428.325307
0.000746	408.402110
0.000010	376.193531
0.000048	326.869166
0.000668	385.246135
0.000603	306.622254
0.000526	434.989414
0.000730	483.865694
0.000707	377.765162
0.000781	405.782348
0.000288	388.062909
0.000693	351.378942
0.000557	300.566999
0.000397	465.937378
0.000062	387.710687
0.000780	366.846209
0.000338	337.819105
0.000608	365.735575
0.000741	343.691448
0.000105	352.436477
0.000128	485.111133
0.000550	470.315788
0.000485	440.463856
0.000890	458.669246
0.000799	351.461166
0.000734	469.908606
0.000051	410.513255
0.000073	399.223198
0.000089	411.540224
0.000798	497.085683
0.000943	302.734593
0.000684	473.230921
0.000132	431.804390
0.000723	463.153361
0.000110	453.847314
0.000117	405.512123
0.000641	377.548982
0.000329	452.813978
0.000654	336.757341
0.000749	450.085913
0.000583	338.829504
0.000740	432.209625
0.000235	494.944384
0.000735	384.297294
0.000971	489.627328
0.000867	395.586229
0.000086	331.920364
0.000366	486.123102
0.000369	388.042606
0.000685	361.591306
0.000598	448.243992
0.000789	442.286717
0.000368	391.506737
0.000206	383.565328
0.000087	304.278108
0.000772	460.214954
0.000206	425.209655
0.000388	394.207799
0.000552	402.873892
0.000229	430.721121
0.000642	475.429778
0.000484	470.006552
0.000152	341.830740
0.000782	445.676529
0.000101	485.249356
0.000294	413.481274
0.000237	450.450479
0.000531	325.113211
0.000091	489.616641
0.000405	374.249314
0.000105	416.741778
0.000112	468.493756
0.000784	302.003867
0.000292	480.803138
0.000604	479.708527
0.000964	435.517734
0.000432	486.315766
0.000695	331.860553
0.000758	322.695863
0.000433	445.175232
0.000655	366.943680
0.000110	323.692734
0.000934	405.663675
0.000187	336.716613
0.000266	429.052756
0.000798	386.046255
0.000488	336.163808
0.000769	379.421444
0.000396	432.819421
0.000273	445.626710
0.000037	484.462071
0.000673	383.257332
0.000430	315.935259
0.000452	482.036795
0.000610	483.043519
0.000059	308.925347
0.000316	347.213380
0.000773	430.713480
0.000696	435.990036
0.000125	302.775711
0.000130	415.387206
0.000092	402.381853
0.000008	393.082836
0.000423	436.986087
0.000656	426.551960
0.000723	452.710997
0.000531	411.853214
0.000109	456.522958
0.000632	352.296513
0.000126	331.410877
0.000134	485.071798
0.000099	461.987520
0.000142	389.231651
0.000168	395.648754
0.000196	311.126396
0.000317	379.752624
0.000316	497.151971
0.000218	358.084714
0.000251	383.506147
0.000893	489.736742
0.000703	432.247688
0.000556	460.205731
0.000184	412.611713
0.000212	429.872151
0.000077	463.612973
0.000914	428.046934
0.000707	476.525477
0.000558	349.033526
0.000313	380.491914
0.000166	496.083035
0.000622	308.212004
0.000988	476.818786
0.000170	398.176296
0.000258	311.057170
0.000397	346.454151
0.000074	326.952281
0.000684	358.621149
0.000402	387.480224
0.000983	454.015871
0.000402	488.815879
0.000621	382.866616
0.000154	323.365820
0.000381	429.472080
0.000161	465.707005
0.000758	449.372994
0.000871	453.921495
0.000351	481.437735
0.000686	316.318362
0.000294	389.388656
0.000531	409.318315
0.000832	449.170105
0.000597	377.523153
0.000335	308.681291
0.000299	309.348513
0.000453	432.510474
0.000423	484.629091
0.000360	361.483461
0.000558	477.996296
0.000743	498.291250
0.000424	330.143970
0.000429	411.349927
0.000125	469.761721
0.000024	496.219344
0.000290	322.831369
0.000318	333.932965
0.000654	355.917383
0.000957	378.917703
0.000936	312.721956
0.000458	490.761932
0.000240	328.653816
0.000764	481.300436
0.000759	355.820297
0.000741	406.016905
0.000744	455.917817
0.000106	311.410035
0.000682	465.770240
0.000463	402.861695
0.000212	369.637833
0.000099	488.625835
0.000824	398.098079
0.000175	345.571303
0.000164	350.828328
0.000666	487.294921
0.000894	450.674907
0.000517	438.845369
0.000703	462.851263
0.000154	438.750547
0.000953	437.415400
0.000541	410.101222
0.000680	472.316159
0.000037	366.637303
0.000809	488.418365
0.000749	409.315770
0.000120	491.783344
0.000525	329.471696
0.000326	456.184461
0.000546	309.015489
0.000399	359.064769
0.000415	478.954283
0.000181	307.320557
0.000255	489.570050
0.000021	333.736509
0.000924	399.628183
0.000654	357.749371
0.000933	479.766436
0.000164	304.650557
0.000921	365.964567
0.000795	392.406761
0.000577	451.947957
0.000440	336.568451
0.000258	470.754965
0.000752	482.433608
0.000229	325.460981
0.000064	395.286826
0.000767	340.500352
0.000671	399.660251
0.000715	494.495083
0.000642	324.886440
0.000419	399.952382
0.000391	358.397323
0.000816	427.755603
0.000317	470.081888
0.000815	371.530387
0.000789	371.716856
0.000852	417.813283
0.000506	343.779938
0.000636	444.302330
0.000951	371.965896
0.000444	377.928325
0.000060	418.608954
0.000867	347.113030
0.000631	363.415936
0.000355	383.942096
0.000997	498.794386
0.000224	337.121469
0.000652	321.464735
0.000605	325.202485
0.000387	479.956019
0.000142	476.475473
0.000025	452.717164
0.000421	386.523769
0.000184	405.109094
0.000726	455.578831
0.000370	379.685969
0.000842	388.544173
0.000734	491.848372
0.000571	357.164351
0.000177	451.772179
0.000957	481.616477
0.000265	358.275621
0.000925	425.884288
0.000224	313.019983
0.000374	306.026744
0.000088	449.539311
0.000640	410.740972
0.000181	449.299638
0.000045	353.707907
0.000723	356.684749
0.000347	380.424798
0.000661	399.522456
0.000384	308.164940
0.000627	426.083937
0.000022	434.617145
0.000911	441.223451
0.000801	339.896281
0.000746	397.160017
0.000813	420.096675
0.000383	443.760328
0.000617	357.227757
0.000575	481.959675
0.000530	475.961698
0.000275	428.498544
0.000249	362.672869
0.000452	393.708368
0.000228	419.792964
0.000804	428.914033
0.000986	478.304229
0.000030	454.525717
0.000536	499.084793
0.000087	329.726857
0.000802	361.469553
0.000989	311.162243
0.000067	440.883417
0.000939	315.493069
0.000018	496.529273
0.000684	464.320469
0.000784	457.576668
0.000534	377.185612
0.000885	383.586378
0.000899	398.125294
0.000626	331.860105
0.000138	451.470573
0.000218	404.162094
0.000182	377.567389
0.000042	474.330221
0.000107	483.695981
0.000616	469.676784
0.000940	357.998494
0.000354	471.013861
0.000411	363.133191
0.000984	385.206929
0.000946	466.336456
0.000677	416.754087
0.000988	499.858596
0.000767	329.247742
0.000337	491.049661
0.000662	339.400861
0.000244	345.936277
0.000296	478.097915
0.000680	438.971427
0.000528	390.081153
0.000412	490.718657
0.000603	477.111413
0.000751	452.975134
0.000584	331.945193
0.000552	492.422196
0.000584	489.726759
0.000512	354.430436
0.000083	310.193723
0.000720	399.740752
0.000996	485.609429
0.000355	431.777994
0.000971	346.105765
0.000346	308.186054
0.000887	479.580484
0.000455	356.684895
0.000413	428.098627
0.000218	497.071022
0.000126	332.017165
0.000309	484.178474
0.000726	349.864425
0.000783	479.115570
0.000694	448.445737
0.000010	493.955367
0.000843	346.841045
0.000922	347.057317
0.000771	458.776233
0.000043	371.601264
0.000378	358.694167
0.000704	445.737128
0.000730	449.253334
0.000224	412.982986
0.000269	384.863556
0.000673	422.503777
0.000477	449.347587
0.000624	457.687307
0.000236	317.479070
0.000177	479.342265
0.000830	358.900454
0.000767	456.984707
0.000934	454.408260
0.000108	310.707716
0.000182	459.611602
0.000099	354.192712
0.000490	452.322751
0.000193	431.820678
0.000896	449.238008
0.000099	304.587548
0.000044	419.314072
0.000557	383.897743
0.000772	461.984275
0.000312	422.797789
0.000179	483.267448
0.000339	357.575158
0.000210	349.143894
0.000510	417.739987
0.000906	396.109588
0.000629	385.444964
0.000102	492.283359
0.000391	377.377299
0.000055	464.611346
0.000501	346.398184
0.000432	482.813414
0.000998	406.890446
0.000812	493.741377
0.000486	331.076885
0.000894	430.547288
0.000138	420.598476
0.000390	420.202886
0.000927	422.703206
0.000917	378.106236
0.000714	377.299716
0.000618	414.013127
0.000343	423.822854
0.000936	317.735386
0.000125	497.118415
0.000731	438.191290
0.000646	325.325703
0.000833	384.065460
0.000398	440.117669
0.000750	372.775351
0.000835	455.575741
0.000322	484.399644
0.000552	434.652628
0.000979	311.844721
0.000549	426.306381
0.000330	341.266232
0.000619	312.280056
0.000361	348.794061
0.000757	436.790992
0.000414	320.913524
0.000492	305.087366
0.000695	365.192744
0.000973	473.160434
0.000328	300.870824
0.000838	438.849371
0.000739	478.436120
0.000954	494.700644
0.000032	391.268541
0.000357	413.845225
0.000663	484.692311
0.000282	461.555439
0.000230	471.133556
0.000711	365.095078
0.000625	423.202519
0.000591	481.770645
0.000660	473.471955
0.000048	478.339302
0.000349	382.905582
0.000451	369.346460
0.000241	337.907097
0.000715	426.562272
0.000856	401.503579
0.000282	414.324585
0.000731	382.374692
0.000138	409.197316
0.000837	403.285224
0.000139	392.288502
0.000588	469.379520
0.000366	467.085303
0.000807	393.524622
0.000504	375.034410
0.000490	487.568778
0.000877	430.196687
0.000353	376.435060
0.000449	477.396712
0.000964	306.147854
0.000042	371.430428
0.000973	346.980858
0.000189	392.817245
0.000667	495.258472
0.000586	440.684510
0.000675	462.489333
0.000361	461.410910
0.000620	357.797742
0.000811	332.474526
0.000019	374.089850
0.000084	332.765201
0.000975	477.363068
0.000651	322.036621
0.000231	423.860581
0.000403	372.655808
0.000122	307.626013
0.000268	315.841684
0.000258	355.260842
0.000332	487.415934
0.000152	421.508269
0.000348	372.673183
0.000122	437.020742
0.000884	310.675806
0.000094	482.837860
0.000930	418.162066
0.000399	353.671111
0.000047	445.885113
0.000342	462.804585
0.000736	425.700124
0.000795	379.420445
0.000545	487.837069
0.000686	320.925663
0.000894	420.122449
0.000055	404.943830
0.000304	385.311017
0.000046	403.228639
0.000195	472.599912
0.000720	400.572702
0.000722	400.715993
0.000878	499.646234
0.000582	392.767754
0.000071	318.121641
0.000923	371.171269
0.000800	324.245938
0.000286	317.893953
0.000544	346.262529
0.000985	358.167921
0.000716	339.474313
0.000839	378.781642
0.000433	414.494937
0.000471	438.342258
0.000561	464.692927
0.000269	389.034289
0.000749	425.449975
0.000504	468.750421
0.000647	379.395360
0.000308	445.317014
0.000139	369.909291
0.000476	493.696515
0.000362	403.355830
0.000788	448.404559
0.000780	416.023955
0.000669	324.639476
0.000134	362.126472
0.000022	393.033686
0.000560	439.420456
0.000301	353.529004
0.000939	306.297194
0.000981	461.005568
0.000287	399.604723
0.000801	355.275411
0.000896	380.498841
0.000598	497.627971
0.000884	370.507384
0.000944	451.187164
0.000549	489.281330
0.000728	333.695075
0.000577	387.389390
0.000026	428.604136
0.000447	314.900164
0.000646	349.190816
0.000521	473.608671
0.000372	411.322729
0.000937	463.529464
0.000830	311.645286
0.000849	372.432099
0.000373	370.657020
0.000593	321.302222
0.000873	329.462415
0.000934	368.874289
0.000668	449.379788
0.000207	428.535810
0.000654	305.743597
0.000072	487.060615
0.000407	325.964332
0.000667	482.150179
0.000934	349.153318
0.000811	476.177210
0.000485	460.262378
0.000757	395.513628
0.000417	408.724117
0.000972	300.738307
0.000988	480.058066
0.000864	466.315670
0.000389	384.063305
0.000455	455.457285
0.000247	436.526346
0.000784	463.058534
0.000883	317.012449
0.000914	331.908304
0.000558	387.056231
0.000599	378.924719
0.000149	411.893213
0.000900	306.641202
0.000450	406.245110
0.000206	461.976403
0.000900	412.952847
0.000763	472.762220
0.000882	396.595270
0.000285	469.678888
0.000673	371.120504
0.000664	477.428640
0.000123	474.565558
0.000407	371.105848
0.000275	361.391776
0.000717	429.686881
0.000283	423.697866
0.000896	367.664403
0.000827	496.417089
0.000390	330.077685
0.000498	331.764275
0.000695	351.756355
0.000834	312.822893
0.000610	329.318296
0.000575	419.635870
0.000326	331.914371
0.000456	476.959525
0.000714	360.051087
0.000884	401.125150
0.000721	448.349020
0.000019	335.681872
0.000675	382.332126
0.000439	305.727628
0.000438	345.774483
0.000117	375.558965
0.000815	457.402423
0.000325	396.914143
0.000246	404.346169
0.000343	347.985597
0.000376	450.129352
0.000547	432.706319
0.000562	374.414337
0.000396	406.621118
0.000398	464.006552
0.000515	388.301468
0.000658	448.834406
0.000951	391.323889
0.000722	361.549545
0.000400	467.627793
0.000832	448.750768
0.000134	494.466820
0.000060	494.692064
0.000084	402.092630
0.000164	435.149481
0.000324	358.643207
0.000302	317.699527
0.000012	387.927297
0.000540	322.103330
0.000095	408.470106
0.000147	472.295770
0.000631	459.128045
0.000859	443.114648
0.000974	499.546665
0.000571	382.975387
0.000997	373.891934
0.000554	340.418538
0.000515	479.917271
0.000331	370.901141
0.000430	328.258973
0.000492	488.503048
0.000071	478.041232
0.000888	410.215380
0.000065	313.042664
0.000436	433.879432
0.000827	404.934887
0.000395	300.131436
0.000613	373.615087
0.000819	448.201822
0.000886	370.458407
0.000931	306.265522
